utilisateur,sujet,date_h
783,InternationalTrailer,2023-07-13 21:02:34.842758
1858,Stunt,2023-07-12 03:46:23.820996
2076,ForeignFilm,2023-06-09 16:16:40.971954
1568,SoundEditing,2023-11-12 05:13:06.630760
658,Shot,2023-11-06 22:08:17.214811
2583,Makeup,2024-03-29 14:55:27.589973
2792,Prequel,2023-09-27 05:38:07.824117
723,ClosingNight,2023-11-14 17:31:11.801173
2329,Pixar,2023-12-12 13:17:28.186274
1315,Score,2023-07-14 22:08:34.969285
1922,AwardsCeremony,2024-03-24 19:25:29.450144
1938,SpecialEffects,2023-07-18 07:51:18.491311
1727,Assembly,2023-10-31 23:25:53.896143
3997,ToyLine,2023-10-25 21:46:05.726498
452,FilmStyle,2023-05-30 09:16:39.696483
3471,Tribute,2024-01-03 13:33:46.345098
3618,Banter,2024-02-20 03:59:35.758239
1776,Popcorn,2023-09-30 04:39:37.200669
2719,Action,2023-12-01 18:12:05.766934
3545,FilmAesthetics,2023-11-12 03:56:04.455338
896,Exhibition,2023-08-27 03:08:13.588042
2482,Argument,2023-07-10 02:52:03.476701
1787,Franchise,2023-11-19 09:17:17.452733
1040,FilmCritic,2023-07-07 01:42:13.124931
2809,Cameo,2023-10-28 06:01:14.536667
1879,Mono,2024-03-19 23:43:03.000945
439,Meeting,2024-03-03 14:42:19.094460
191,FilmTheory,2023-10-05 06:53:00.159047
1072,CinematographyBook,2023-07-31 10:15:21.999893
3938,Adaptation,2024-04-22 09:28:59.269528
2975,Gathering,2024-03-03 14:40:16.961514
2549,GreenBandTrailer,2023-12-14 21:27:25.086839
1031,DreamSequence,2023-11-23 22:21:22.971229
585,Gathering,2024-04-27 21:24:59.568637
2608,TeaserTrailer,2023-12-08 02:23:16.483457
291,FilmStyle,2024-05-07 16:41:47.679504
1941,Tribute,2023-12-11 23:48:33.260754
3918,Rehearsal,2024-02-24 06:09:36.581017
2775,Narration,2024-04-01 22:24:29.553562
686,FilmStructure,2023-08-08 05:51:25.123557
827,FilmForm,2023-06-18 00:00:17.506957
3432,Masterclass,2023-09-07 19:30:21.322708
808,Narration,2023-12-07 12:32:10.507518
3814,JamesBond,2023-10-28 09:54:01.741377
2540,SneakPeek,2024-01-22 00:57:44.861180
1078,SoundEffect,2024-03-23 03:11:22.585159
107,SoundEditing,2023-11-20 13:45:53.697061
343,Discussion,2023-08-27 22:17:04.073453
78,FilmIndustry,2024-04-18 06:24:36.351091
3405,SetDecoration,2024-03-17 23:15:48.757479
2747,FilmHistory,2024-02-27 17:37:51.474841
3767,Pan,2023-11-19 01:41:27.578589
674,Action,2024-03-14 21:41:29.548510
2940,Score,2023-11-19 18:09:35.615213
2202,FilmStructure,2023-09-30 18:44:07.401935
1586,Reboot,2023-11-20 00:43:40.342901
2160,Crane,2024-03-28 20:44:09.564593
209,Pixar,2023-12-08 07:18:18.202289
1798,BusStopPoster,2023-06-06 13:50:15.405812
2929,SetDecoration,2023-05-10 03:48:38.668019
1585,Trailer,2023-12-23 14:32:50.101249
1860,TieIn,2023-11-16 22:25:02.503672
1752,Sequel,2023-12-21 03:16:35.881392
1664,Zoom,2023-07-03 03:17:48.042585
1253,SetDecoration,2024-03-25 02:35:45.233655
1109,BehindTheScenes,2024-04-13 05:03:54.495283
2120,FilmForm,2024-02-01 09:03:59.515518
800,Narration,2024-05-03 16:17:52.223513
642,ProductionDesignBook,2024-01-25 08:11:24.997275
177,SoundEditing,2024-03-16 14:47:39.560163
3616,JumpCut,2024-03-04 09:20:00.242209
2516,ActionPoster,2023-09-18 06:56:13.993220
2389,HarryPotter,2023-05-14 12:21:14.723319
1238,ExecutiveProducer,2023-09-10 13:36:19.212666
1093,Meeting,2023-05-24 02:07:38.638853
1720,Casting,2023-07-23 23:38:00.369632
373,Celebration,2023-12-10 10:44:41.285751
3921,Handheld,2024-01-23 22:33:41.356268
1455,Celebration,2023-12-23 03:56:54.701216
1834,RedCarpet,2023-11-26 01:50:10.442452
2933,Homage,2023-10-23 18:37:02.101639
3625,Adaptation,2023-08-01 04:54:23.121425
3359,FilmNoir,2023-12-28 05:27:27.515388
2933,Dialogue,2023-12-18 22:38:21.122806
550,CharacterPoster,2023-05-16 13:01:53.423999
581,Preview,2023-05-12 01:59:21.625212
2988,Disney,2023-11-27 09:32:13.423591
944,FilmStructure,2024-02-26 15:36:47.591357
272,TradingCards,2023-07-19 12:58:15.125801
891,FilmMaking,2024-03-28 11:09:37.887085
2673,MatchCut,2023-12-07 20:35:54.166644
1176,Pan,2023-11-23 23:43:45.537289
1151,VideoGame,2024-03-16 10:14:20.413836
1359,5.1,2023-10-29 19:11:05.244745
3997,CharacterPoster,2023-10-07 11:24:52.383183
1927,Screening,2023-09-24 13:58:14.092362
1159,Sequence,2024-04-15 04:18:41.321284
22,ScreenplayBook,2024-03-20 17:32:32.442217
437,Score,2023-12-16 13:48:57.241672
2480,Storyboard,2023-08-17 15:51:27.033511
725,Pan,2024-02-07 10:03:47.955072
2890,IMAX,2023-07-07 10:03:47.510521
2377,Cut,2024-01-08 09:35:46.689629
361,Voiceover,2023-12-11 03:38:23.474377
2035,Fantasy,2023-05-16 15:18:01.530963
471,SetDecoration,2024-02-12 17:06:41.570827
3971,Homage,2023-12-05 17:51:11.265503
1338,Western,2023-06-24 09:27:48.815342
2493,FilmStyle,2024-05-01 19:37:56.049061
3731,FilmGenre,2024-03-30 12:26:49.243756
1981,FilmGenre,2023-08-30 00:40:59.690711
1280,FilmScore,2023-09-20 11:46:21.945890
3302,Debate,2024-02-13 23:51:27.787690
695,Spielberg,2023-12-10 17:34:09.397704
2154,StarWars,2023-10-14 10:08:25.739794
3482,TeaserTrailer,2024-02-13 23:43:23.015039
2095,FilmCriticism,2024-03-14 00:56:28.941161
3579,WrapParty,2024-04-28 23:51:41.104397
1113,Soundtrack,2023-08-23 06:13:12.617990
2730,Montage,2023-10-17 03:32:18.821553
3003,Debate,2023-09-14 19:16:04.999327
1087,InternationalPoster,2023-12-05 21:58:40.370810
2815,Makeup,2024-03-16 06:02:15.681802
2327,ActionFigures,2023-10-30 10:35:50.685488
558,Family,2023-11-10 01:23:29.038957
1298,Narration,2024-04-22 07:38:34.391880
1986,LordOfTheRings,2024-04-12 19:19:33.078336
3554,Pixar,2024-03-04 03:19:41.885950
382,Symposium,2024-04-15 08:41:28.485136
3272,ProductionDesignBook,2023-07-15 20:59:37.551773
1532,FilmLanguage,2023-07-08 07:57:33.646543
1650,Keynote,2024-04-04 10:05:02.229829
1317,Tutorial,2023-11-04 22:45:15.112959
1042,Meeting,2024-02-28 01:40:11.183177
1583,PressJunket,2023-10-10 09:23:04.906433
3271,InternationalTrailer,2023-10-22 13:46:26.107271
1836,Featurette,2023-12-11 04:18:35.886282
2253,Score,2023-07-07 20:59:47.690166
120,FilmForm,2023-08-23 03:46:59.153922
2481,Trailer,2023-08-13 14:45:25.508124
1825,FilmLanguage,2023-11-26 05:57:02.711800
2,FilmStyle,2023-09-06 13:13:10.875686
2463,Presentation,2023-06-14 16:58:51.733903
3097,FilmStyle,2024-01-17 08:58:06.895195
821,Afterparty,2024-04-04 00:48:52.972369
419,Spielberg,2024-04-28 22:38:56.402363
729,ProductionDesignBook,2024-04-29 05:58:48.504142
2458,VisualEffects,2023-10-04 07:38:51.755863
3338,Sequel,2024-03-03 07:55:50.691955
3002,Marvel,2023-12-21 08:45:41.720963
2421,MagazineAd,2024-02-18 11:17:33.988839
3815,ADR,2024-03-29 19:40:48.464700
2825,Scene,2024-01-17 15:26:48.308038
2084,ForeignFilm,2023-09-26 02:39:57.047092
144,MakeupArtist,2024-04-18 01:23:20.903458
964,ComicBook,2023-06-17 19:58:29.853889
3904,BehindTheScenes,2023-12-11 02:27:01.129336
3992,TeaserPoster,2024-04-06 14:32:34.715998
2122,Screening,2023-11-11 11:47:07.417663
3875,BusStopPoster,2023-06-17 14:56:15.051065
801,HairStyling,2024-05-02 02:52:12.616877
13,Looping,2023-12-16 09:40:14.951715
3556,Dubbing,2023-06-07 07:16:52.178395
2079,CrossPromotion,2023-12-07 02:09:37.534043
1040,SilentFilm,2023-08-15 07:25:44.371538
2626,Adventure,2024-04-06 15:51:34.063464
3577,3D,2023-07-05 16:09:57.038613
1716,SurroundSound,2024-01-29 02:00:35.341459
2947,FilmSemiotics,2023-06-23 08:00:30.045794
118,Action,2023-06-21 19:39:52.171620
2473,ForeignFilm,2023-12-27 14:00:34.950463
2977,CloseUp,2023-10-14 15:16:01.043337
1357,Meeting,2023-07-19 06:31:04.203322
3129,Pixar,2024-02-02 19:43:59.272429
1585,CostumeDesign,2024-02-18 19:00:55.674690
1167,NewspaperAd,2024-02-16 14:59:28.364791
1611,Sequence,2023-07-23 19:38:13.527745
2128,Adaptation,2023-10-03 09:17:16.163212
2099,Adaptation,2023-12-13 01:22:42.080400
1141,Tribute,2023-06-16 07:08:50.799173
3670,Tilt,2024-04-06 10:02:41.719115
960,CrossCut,2023-05-24 21:48:11.005406
327,Superhero,2023-11-18 05:58:29.595183
2336,Looping,2023-09-05 00:10:06.306569
1406,PerformanceCapture,2023-06-26 13:35:54.628895
1716,DiegeticSound,2023-10-17 18:10:37.199801
1270,Gala,2024-01-09 03:47:06.052669
2845,ActionPoster,2023-07-02 17:03:58.326449
1084,Interview,2024-01-09 00:10:30.274068
1402,ParallelEditing,2023-07-05 13:09:47.348686
3901,BoomOperator,2023-09-03 02:00:04.193864
2007,FilmStructure,2024-01-12 22:16:16.497485
1791,Take,2023-05-21 05:36:42.126553
1910,BruceWillis,2023-07-06 04:36:21.550219
745,Seminar,2024-02-23 15:46:26.299632
676,SpecialEffects,2023-10-24 18:13:56.068906
1516,StoryboardArt,2024-01-17 00:29:33.296305
2449,FilmMaking,2023-10-12 02:08:33.405139
2591,Oscar,2023-05-09 11:06:03.093432
2223,Pixar,2023-05-28 09:00:16.529624
3284,MovieTheater,2024-03-06 14:09:45.452678
3929,Gala,2023-08-17 03:40:02.134336
2419,ConceptArt,2023-09-20 14:42:52.171205
688,Keynote,2024-01-04 18:14:29.704943
2518,CinemaTickets,2024-01-14 10:54:05.395159
3904,Tribute,2023-06-16 14:58:38.855761
1042,5.1,2023-07-11 04:48:19.243800
2133,Indie,2023-12-27 01:44:29.540035
812,RedCarpet,2023-11-24 22:22:11.452775
1915,FilmEditing,2023-06-02 04:23:54.152018
1638,Retrospective,2023-06-14 11:15:02.168716
3517,CostumeDesign,2024-01-24 12:50:57.097547
1759,RedCarpet,2023-05-21 07:53:40.110624
3068,Shot,2023-06-30 03:31:43.664482
1909,InternationalPoster,2024-04-10 07:01:36.367346
2876,HairStyling,2023-07-10 15:37:21.613856
3508,FilmGenre,2023-11-02 06:56:01.191035
1648,Cinematography,2023-10-12 16:22:37.145719
1369,CGI,2023-09-24 10:03:03.487896
112,Narration,2023-09-06 02:39:24.270719
2537,VideoGame,2023-11-17 05:51:57.829713
437,FilmMaking,2023-11-15 02:11:29.932316
2618,Cut,2023-07-05 13:12:33.635560
1570,InternationalPoster,2023-10-03 11:23:17.460693
1147,AmbientSound,2023-06-24 18:31:01.819209
28,FilmAesthetics,2023-11-17 02:28:56.108279
2947,FadeOut,2024-03-17 15:10:33.565631
1490,FilmStyle,2024-01-28 18:50:17.669125
2966,BusStopPoster,2024-03-14 10:08:46.458571
2950,EstablishingShot,2023-07-08 06:36:45.155259
2921,SplitScreen,2023-06-16 19:12:09.858484
1198,InternetAd,2024-03-18 11:18:01.554805
2984,Nemo,2023-12-18 15:11:49.747255
2083,Manga,2023-11-07 10:44:01.917696
1780,WrapParty,2023-10-10 13:19:25.396808
935,BoardGame,2024-01-30 21:18:32.305240
75,TrackingShot,2023-06-29 07:52:11.970309
1519,Assembly,2023-10-30 11:05:56.305970
1074,Narration,2024-04-19 18:02:46.485343
1393,FilmSemiotics,2023-06-17 14:29:28.378047
1391,RedBandTrailer,2023-12-28 16:22:46.700992
2941,FilmAesthetics,2024-03-29 03:20:03.818145
1120,FilmStyle,2023-09-08 19:41:07.766587
3164,Montage,2024-01-08 23:04:22.343174
2943,InternationalPoster,2023-06-13 01:27:08.792375
1270,FadeOut,2023-06-11 08:50:29.239568
3148,Spielberg,2024-02-20 17:38:02.856959
1596,Producer,2024-01-12 06:09:04.606346
2419,Meeting,2024-05-07 06:38:38.010477
2320,FilmHistory,2024-02-22 12:10:31.536754
3412,TeaserPoster,2023-12-27 09:55:06.551500
969,Clip,2023-05-12 15:50:28.053681
781,FilmSemiotics,2024-02-02 02:10:34.131693
2595,DCComics,2024-02-16 08:43:06.202762
3291,CharacterPoster,2023-10-07 12:20:07.290728
858,Thriller,2023-12-23 13:34:41.806820
1566,PerformanceCapture,2023-09-01 00:29:37.306730
826,Convention,2024-01-12 00:05:24.838526
949,Stereo,2024-01-29 19:42:37.301611
171,BruceWillis,2023-06-14 10:56:17.215497
787,Score,2023-11-11 05:19:46.907708
1676,ClosingNight,2023-12-09 23:05:54.726801
1212,OriginalStory,2024-04-01 12:40:37.224638
2354,Family,2024-01-23 23:58:41.553087
450,CinemaScope,2023-07-06 02:04:03.855374
3512,Screening,2023-12-22 09:31:18.124206
338,TeaserPoster,2023-12-12 17:08:30.488080
1295,Keynote,2024-02-01 03:33:03.524606
3717,Adaptation,2023-07-13 11:09:12.918069
568,Retrospective,2024-04-12 19:28:39.715197
1552,CrossCut,2023-06-10 23:38:49.999460
847,Symposium,2023-06-21 03:37:44.714715
2270,OpeningNight,2023-05-31 21:13:20.296005
562,BluRay,2023-12-05 22:58:08.089040
595,Demonstration,2023-12-17 02:55:03.345661
2661,FilmCriticism,2023-12-03 01:55:20.770595
3023,Superhero,2023-08-22 05:43:04.908597
10,Casting,2023-09-29 09:31:43.586805
1095,Spinoff,2023-07-09 04:09:47.048086
2472,HarryPotter,2024-04-27 23:08:03.456533
25,ArtBook,2023-09-25 12:16:11.804124
1167,FilmAesthetics,2023-07-15 12:38:18.204568
1505,Homage,2023-09-18 23:49:02.361127
1795,BruceWillis,2024-02-21 00:33:55.040822
1391,SoundEditing,2024-04-07 12:31:06.570768
1659,FilmEditing,2023-12-22 03:37:11.941279
409,DCComics,2024-02-10 16:31:00.438482
3656,Montage,2024-04-22 21:32:08.456822
1302,ClassicFilm,2023-07-14 08:20:48.193238
260,SilentFilm,2023-06-03 17:46:22.672559
3097,ClassicFilm,2023-11-09 07:25:57.441629
3379,Biopic,2023-06-01 11:35:55.004499
338,Poster,2024-02-02 11:00:41.505221
1984,Teen,2024-04-12 10:37:03.108161
1794,Casting,2023-05-12 01:03:23.182345
64,Foley,2023-12-27 01:28:46.196484
3354,FilmScore,2024-03-25 01:34:28.185504
1770,TheatericalTrailer,2024-02-26 20:36:52.302125
217,Soundtrack,2024-04-29 07:52:52.455882
319,BehindTheScenesBook,2023-07-17 18:46:29.380631
224,BusStopPoster,2024-04-13 19:06:18.130140
1692,Banter,2023-08-01 18:33:31.715692
3465,PressConference,2023-11-16 08:22:23.444514
2526,FilmHistory,2023-09-07 11:36:36.757757
1657,ForeignFilm,2024-03-15 08:30:21.227839
946,Adaptation,2024-02-13 15:29:24.780806
3756,Actress,2024-01-03 12:37:59.408735
2355,FilmStyle,2023-11-03 23:38:35.731522
1974,FilmIndustry,2023-09-11 19:20:23.531228
33,Indie,2024-05-04 23:40:06.624807
1961,FilmStructure,2023-09-27 07:16:34.377930
2506,BusStopPoster,2023-06-18 07:55:15.004950
869,SoundtrackAlbum,2023-11-05 07:29:29.349817
69,Narration,2024-04-20 22:10:41.332091
2783,AwardSeason,2023-09-04 10:44:46.962523
1961,Billboard,2023-12-25 12:36:10.522973
3680,History,2023-10-04 04:45:26.995321
1980,Flashback,2024-01-09 09:53:06.037779
1182,FilmGenre,2024-04-09 01:16:09.958537
1454,Afterparty,2023-10-27 15:40:12.399916
645,Cinematography,2023-08-02 12:24:51.154685
34,Producer,2023-12-17 17:39:17.556672
3611,Crane,2024-03-14 09:46:41.326293
3632,OnSet,2024-02-08 18:12:50.844618
544,ClassicFilm,2023-07-15 19:49:52.603602
2650,Presentation,2023-06-29 14:26:35.474796
3880,MakingOf,2023-09-12 23:19:52.535882
2975,Conversation,2023-09-14 12:27:31.460566
3521,SoundtrackAlbum,2024-01-26 08:32:32.590998
3954,DVD,2023-06-11 14:46:45.720247
214,Showcase,2023-10-11 16:46:05.629155
3057,Gathering,2024-01-25 18:40:11.800663
2833,Monologue,2023-09-15 10:35:20.693285
3253,Prequel,2023-05-17 02:33:25.366965
1266,Biopic,2024-03-02 11:23:09.482067
1676,ArtPrint,2024-03-24 17:29:43.944275
2676,Lecture,2023-07-29 10:03:27.677138
2624,MovieReview,2023-10-29 13:26:30.412342
1131,FilmSchool,2023-07-26 10:08:46.928876
1584,Poster,2024-01-18 14:51:13.852004
1690,Presentation,2023-06-29 08:05:21.840107
2317,Interrogation,2023-08-05 05:51:16.236106
572,FilmGenre,2023-10-01 23:23:46.860311
3018,ScoreAlbum,2024-04-15 06:45:25.473016
1553,FilmHistory,2023-07-18 14:10:14.763229
1437,GuerrillaMarketing,2023-10-17 16:34:29.964611
1111,FilmHistory,2024-02-23 14:29:16.354042
1234,FilmEditing,2023-07-12 12:13:26.237776
3206,AwardSeason,2023-05-29 20:52:58.175213
244,Score,2024-03-16 04:33:28.587168
1845,FilmLanguage,2023-07-12 22:00:10.656767
3111,Homage,2024-01-06 02:10:00.857973
3327,Dubbing,2023-09-20 21:00:33.739284
825,StaticShot,2023-05-17 07:34:51.547628
3343,Cinematography,2023-10-01 10:32:09.243104
331,MovieReview,2023-06-16 15:45:32.870613
3180,Drama,2023-05-28 04:28:25.698982
2945,Actress,2023-07-28 04:22:24.006336
1188,Flashback,2024-03-18 01:56:49.885028
999,Afterparty,2023-09-12 04:16:51.036405
3454,Rehearsal,2023-08-26 05:20:31.199462
2608,StarWars,2023-10-31 18:13:31.189235
3637,Cannes,2023-12-05 15:42:46.158158
976,Blockbuster,2023-09-16 23:59:22.370751
1237,Indie,2024-01-04 18:42:21.611054
3830,Presentation,2024-04-26 23:24:55.954162
1942,ProductPlacement,2023-09-26 16:38:21.797358
1061,Forum,2023-09-22 15:21:23.828552
2129,Animation,2023-07-30 06:03:01.476604
2852,FilmCriticism,2024-02-08 13:20:17.480862
