ID_Artiste,nom,sexe,nb_Oscars
196,Elizabeth Leonard,feminine,20
197,Jordan Taylor,feminine,1
198,Billy Maldonado,masculine,22
199,Nicholas Valenzuela,feminine,20
200,Kevin Williams,masculine,24
201,Nathan Murphy,feminine,3
202,John Turner,feminine,13
203,Brandon Johnson,feminine,8
204,Dana Knight,feminine,12
205,Karen Campbell,masculine,1
206,Michael Mitchell,feminine,14
207,Jason Yang,masculine,8
208,Christopher Simon,feminine,27
209,Eileen Harris,feminine,3
210,Erica Keller,masculine,1
211,Bradley Brock,feminine,7
212,Zachary Mendoza,masculine,11
213,Tom Chapman,masculine,25
214,Bryan Moses,feminine,30
215,Jeffery Thomas,feminine,28
216,John Oliver,feminine,3
217,Breanna Bradshaw,feminine,17
218,Dr. Deborah Kelly,feminine,29
219,Seth Armstrong,masculine,11
220,Mark Brown,masculine,16
221,Courtney Baker,masculine,22
222,Rebecca Woods,masculine,5
223,Luis Friedman,feminine,27
224,John Mcclain,masculine,26
225,Christopher Walker,masculine,24
226,Natalie Rodgers,masculine,9
227,Barry Martinez,masculine,29
228,James Smith,feminine,2
229,Samuel Reed,masculine,5
230,Christopher Russell,feminine,2
231,Jill Ramirez,masculine,27
232,Travis Williams,masculine,29
233,Sean Sharp,masculine,29
234,Helen Robinson,feminine,17
235,Lisa Brown,masculine,17
236,Christine Williams,masculine,6
237,Jack Lopez,masculine,5
238,David Erickson,masculine,18
239,Brittany Ferguson,feminine,1
240,Andrew Bailey,masculine,0
241,Michelle Neal,feminine,30
242,Samuel Brown,masculine,13
243,Katherine Vega,feminine,7
244,Bryan Munoz,masculine,23
245,Alice Schmidt,masculine,13
246,Jamie Powell,feminine,29
247,Ralph Evans DDS,masculine,1
248,Jesse Ayala,feminine,24
249,Danny Morgan,feminine,18
250,Mary Jackson,feminine,30
251,Gregg Cervantes,feminine,14
252,Peter Chase,feminine,24
253,Richard King Jr.,feminine,5
254,Ryan Khan,feminine,19
255,Tracy Booker,masculine,4
256,Ann Dixon,feminine,14
257,Brian Ramirez,masculine,26
258,William Little,feminine,14
259,Juan Warren,feminine,1
260,Sandra Gonzalez,masculine,22
261,Kevin Smith PhD,feminine,20
262,Jose Johnson,feminine,23
263,Sophia Rodriguez,feminine,3
264,Monique Riley,feminine,7
265,Angela Martin,masculine,27
266,Madison Arnold,feminine,16
267,Robert Martin,feminine,3
268,Jordan Archer,masculine,21
269,John Olson,feminine,3
270,Carl Keith,masculine,3
271,Stephanie Lee,feminine,20
272,Charles Mclaughlin,feminine,22
273,Matthew Thompson,masculine,16
274,Steven Hobbs,feminine,11
275,Christopher Hughes,feminine,12
276,Vanessa Duran,feminine,30
277,Michael Stanley,feminine,13
278,Elizabeth Hardin,masculine,21
279,Alexa Graham,feminine,17
280,Elizabeth Smith,feminine,0
281,Shannon Owen,feminine,9
282,Bradley Willis,masculine,17
283,Alejandra Hoover,feminine,13
284,Nicole Wright,masculine,27
285,Susan Duran,feminine,26
286,Melissa Hayes,masculine,30
287,Molly Barnes,masculine,0
288,Francis Small,masculine,24
289,Kelly Oneal,feminine,1
290,Michael Johnson,masculine,20
291,Lindsey White,feminine,4
292,Amber Benson,masculine,6
293,Alan Ross,masculine,17
294,Gabriela Wolfe,feminine,8
295,Kristen Johnson,masculine,28
296,Laura Moore,feminine,4
297,Joseph Fox,masculine,30
298,Matthew Rivera,feminine,17
299,Jessica Huynh,masculine,27
300,Elizabeth Richardson,masculine,30
301,Karen Snyder,masculine,21
302,Dylan Kelley,feminine,12
303,David Romero,feminine,9
304,Christopher Jennings,feminine,1
305,Nathan Williams,masculine,27
306,Tracy Love,feminine,15
307,Danny Hernandez,feminine,5
308,Kelly Lozano,feminine,20
309,Shannon Gonzalez,masculine,7
310,Allison Golden,masculine,6
311,Christopher Werner,masculine,16
312,Adam Ramirez,masculine,7
313,Alec Jackson,masculine,14
314,Scott Sawyer,masculine,3
315,Ronald Riley,masculine,10
316,Mia Davis,masculine,21
317,Diane Thompson,masculine,5
318,Robert Wyatt,feminine,20
319,Janet Green,masculine,19
320,Robert Moran,masculine,8
321,David Garcia,masculine,10
322,Leah Day,feminine,16
323,David Benson,feminine,8
324,Amanda Thornton,feminine,6
325,Jessica Fleming,masculine,4
326,Candice Sanchez,masculine,29
327,Lisa Morton,masculine,17
328,Katherine Hall,feminine,19
329,John Acosta,masculine,2
330,Kimberly Nguyen,feminine,10
331,Mark Wilkinson Jr.,masculine,0
332,Matthew Jackson,feminine,4
333,Elizabeth Baldwin,masculine,17
334,Cathy Henry,feminine,17
335,Austin Hawkins,feminine,5
336,Timothy Gomez,feminine,13
337,Kelsey Ferguson,masculine,20
338,Taylor Barber,masculine,8
339,Kathryn Davis DDS,feminine,8
340,Nicole Rice,masculine,12
341,Joseph Flowers,masculine,4
342,Stephanie Giles,feminine,2
343,Janet Hall,feminine,11
344,Tracy Arroyo,masculine,29
345,William Edwards,feminine,14
346,Darlene Myers,masculine,27
347,Ashley Johnson,feminine,7
348,Craig Turner,masculine,1
349,Shirley Peterson,masculine,20
350,Gerald Adkins,masculine,26
351,Chad Palmer,feminine,22
352,David Harrison,feminine,14
353,Thomas Garcia,masculine,19
354,Timothy Anderson,masculine,27
355,Susan Lee,feminine,23
356,Dr. Cheryl Larson,feminine,30
357,Denise Evans,feminine,15
358,Ronald Charles,masculine,28
359,Adam Craig,masculine,5
360,David Davenport,feminine,13
361,Martin Wilkinson,masculine,25
362,Erika Ramos,masculine,9
363,Dale Erickson,feminine,3
364,Christopher Williams,feminine,25
365,Justin Thompson,feminine,15
366,Tanya Hill,masculine,10
367,Mr. Randy Rose,masculine,29
368,Anthony Gregory,masculine,12
369,Megan Dyer,feminine,16
370,Kim Townsend,feminine,9
371,Daniel Smith,masculine,9
372,Nicole Griffin,masculine,30
373,Mrs. Lori Burns,feminine,20
374,Heather Austin,masculine,11
375,Michele Buck,masculine,6
376,Heather Parker,feminine,15
377,Matthew Soto,masculine,12
378,Kathleen Crawford,masculine,19
379,Elizabeth Hoover DVM,feminine,12
380,Brittany Butler,feminine,9
381,Lauren Brown,feminine,19
382,Brandon Clark,feminine,24
383,Craig Perry,masculine,19
384,Pamela Shepard,feminine,8
385,Robert Turner,feminine,20
386,Leslie Thomas,feminine,11
387,Carol Mitchell,masculine,25
388,Elizabeth Allen,feminine,14
389,Lisa Noble,masculine,4
390,Timothy Fields,masculine,17
391,Robert Barrera,feminine,23
392,Christian Marquez,feminine,9
393,Karen Williams,feminine,7
394,Monica Martinez,feminine,1
395,Spencer Hernandez,masculine,1
396,Mark Freeman,feminine,23
397,Alejandro Johnson,masculine,29
398,Kaylee Robinson MD,feminine,9
399,Samantha Garrison,feminine,27
400,Michael Davis,feminine,18
401,Richard Meyers,masculine,3
402,Steven Lopez,feminine,15
403,Tyler Buck,masculine,3
404,Brandon Brown,masculine,25
405,Alexander Lynch,masculine,5
406,Leslie Brown,feminine,1
407,Carlos Simmons,feminine,19
408,Fernando Hernandez,masculine,28
409,Brian Mays,masculine,3
410,Roger Silva,feminine,17
411,Amanda Barnett,masculine,1
412,Christine Hernandez,masculine,26
413,Michael Shields,masculine,9
414,Christy Thompson,masculine,13
415,Robert Clark,masculine,14
416,Paul Smith,masculine,10
417,Rachel Camacho,feminine,8
418,James Schultz,feminine,17
419,Justin Serrano,masculine,15
420,Maria Rios,feminine,2
421,Brent Jackson,masculine,7
422,Steven Miller,feminine,4
423,Elizabeth Manning,feminine,29
424,Meghan Gallegos,feminine,11
425,Autumn Hicks,feminine,11
426,Jay Lane,masculine,5
427,Noah Morrison,feminine,6
428,Daniel Lucas,feminine,25
429,Sergio Scott,masculine,7
430,Kyle Cox,feminine,9
431,Lisa King,feminine,9
432,Shannon Fuentes,feminine,16
433,Gregory Sanchez,feminine,18
434,Kristen Perez,masculine,18
435,Jennifer Brooks,masculine,14
436,William Ferguson,masculine,28
437,Theresa Reeves,feminine,0
438,Robert Anderson,masculine,4
439,Dawn Olsen,feminine,17
440,Kara Miranda,feminine,27
441,Travis Kim,feminine,10
442,Brett Fry,feminine,5
443,Valerie Vargas,masculine,6
444,Robert White,feminine,28
445,John Martin,feminine,13
446,Latasha James,feminine,7
447,Nicholas Collins,feminine,26
448,Dr. Jacqueline Alexander,feminine,7
449,David Gomez,masculine,14
450,Ashley Valdez,masculine,30
451,Nicholas Walker,masculine,26
452,Todd Ryan,masculine,17
453,Ronald Riggs,feminine,16
454,Kimberly Robinson,feminine,7
455,Susan West,feminine,17
456,Jorge Charles,feminine,25
457,Crystal Fox,masculine,9
458,James Mccormick,feminine,5
459,Sherri Ross,masculine,15
460,Michael Wagner,feminine,25
461,Karl Davis,masculine,26
462,Rachel Jacobs,feminine,11
463,Sonya Smith,masculine,16
464,Jeanette Jackson,feminine,9
465,John George,masculine,25
466,Joe Reed,feminine,30
467,Regina Glover,masculine,12
468,Mikayla Rodriguez,masculine,27
469,Nicole Allen,feminine,22
470,Joshua Petty,masculine,12
471,Gabriela Smith,feminine,8
472,Curtis Grimes,masculine,26
473,Mary Phillips,masculine,4
474,Lindsey Gonzalez,feminine,14
475,Sonya Pollard,masculine,22
476,Victoria Mullen,masculine,10
477,Sarah Glass,feminine,4
478,James Flores,masculine,15
479,Claudia Anthony,masculine,18
480,Kathy Calhoun,feminine,10
481,Jeremy Davis,masculine,30
482,Joseph Meadows,masculine,0
483,Morgan Pena,masculine,27
484,Theodore Gonzalez,masculine,30
485,Elizabeth Burke,masculine,26
486,Andrew Burns,masculine,16
487,Tiffany Cunningham,feminine,1
488,Samantha Jacobs,masculine,14
489,Chelsea Neal,masculine,8
490,Peggy Sherman,masculine,20
491,Janet Jenkins,masculine,11
492,Melissa Holland,feminine,11
493,Summer Young,masculine,30
494,Christian Sanders,masculine,18
495,Kristen Roberson,masculine,26
496,Melissa Beard,masculine,13
497,Taylor Alvarez,masculine,13
498,Andrea Davis,masculine,3
499,Vicki Miller,feminine,15
500,James Garcia,masculine,28
501,Jeanette Cruz,feminine,19
502,Steven Berg,masculine,26
503,Jessica Maddox,feminine,2
504,Julie Thompson,masculine,27
505,Dave Mills,feminine,3
506,Wayne Hunt,masculine,13
507,Roger Anderson,feminine,29
508,Shawn Anthony,feminine,7
509,Amy Andrews,masculine,27
510,Tiffany Avila,feminine,26
511,Amanda Weaver,feminine,29
512,Brian Christian,feminine,16
513,Barry Clark,masculine,18
514,Amy Flores,masculine,7
515,Larry Chung,feminine,20
516,Victoria Ross,masculine,2
517,Suzanne Steele,feminine,3
518,Charles Ross,masculine,25
519,Michael Pittman,masculine,16
520,Sarah Beck,feminine,12
521,Terri Phillips,feminine,20
522,Adrian Romero,masculine,4
523,Carol Stephenson,masculine,5
524,Sarah Wiggins,feminine,8
525,John Maxwell,feminine,10
526,Cheryl Pope DDS,masculine,15
527,Jonathan Thompson,masculine,20
528,Deborah Smith,masculine,16
529,Leslie Rogers,masculine,7
530,Donald Levine,feminine,13
531,Jay Thomas,feminine,5
532,Nathan Mullins,feminine,19
533,Emily Robbins,masculine,15
534,Natasha Gilbert,feminine,21
535,Stephanie Johnson,feminine,8
536,Alicia Miller,masculine,26
537,John Gonzales,masculine,26
538,Christopher Stanton,masculine,30
539,Anthony Gordon,masculine,8
540,Melissa Page,masculine,9
541,Eric Hernandez,feminine,20
542,Kaylee Drake,feminine,20
543,Courtney Harding,masculine,28
544,Hannah Castro,masculine,1
545,Rachael Tyler,masculine,9
546,Robert Rangel,feminine,7
547,Mary Lowe,masculine,30
548,Christina White,feminine,17
549,Amber Black,feminine,8
550,Dr. Kristina Gutierrez,feminine,6
551,Andrea Petersen,masculine,12
552,Tina Obrien,feminine,14
553,James Melendez,masculine,4
554,Nathan Smith,feminine,5
555,Alex Johnson,feminine,20
556,Garrett Gaines,masculine,9
557,Michael Peters,masculine,5
558,Valerie Garcia,masculine,24
559,Tiffany Norman,masculine,21
560,Sharon Phillips,masculine,25
561,Danielle Horton,masculine,9
562,Tracey Hall DDS,masculine,19
563,Leslie Burke,masculine,2
564,Michael King,masculine,30
565,Willie Brown,feminine,0
566,Lisa Taylor,feminine,19
567,James Williams,feminine,0
568,Annette Johnson,feminine,2
569,Linda King,masculine,29
570,Michael Thompson,masculine,16
571,Tanya Turner MD,masculine,4
572,Sheri Hunter DVM,masculine,13
573,Mary Collins,masculine,19
574,Tyrone Harvey,feminine,5
575,Brian Booth,masculine,27
576,Shane Vargas,masculine,9
577,Bradley Jacobs,feminine,12
578,Amanda Gillespie,masculine,2
579,Luis Olson,masculine,24
580,Kenneth Edwards,masculine,17
581,Rebekah Smith,feminine,1
582,Daniel Moore,feminine,8
583,Sharon Todd,feminine,5
584,Rachel Boyd,masculine,12
585,Tyler Henderson,feminine,17
586,Amanda Harrington,masculine,13
587,Jose Bennett,masculine,15
588,Mr. George Rivera,feminine,21
589,Megan Evans,feminine,2
590,Julie Johnson,feminine,9
591,Jeffery Li,feminine,16
592,Devin Snow,masculine,19
593,Vanessa Brown,masculine,5
594,Jacob Nelson,masculine,25
595,Diana Smith,feminine,19
596,Donald Middleton,feminine,22
597,Michele Klein,feminine,18
598,Calvin Newman,feminine,23
599,Joe Howard,feminine,0
600,Kelly Young,masculine,18
601,Ryan Lee,masculine,5
602,Kathryn Middleton,feminine,11
603,Claudia Esparza DDS,masculine,25
604,Eric Wagner,feminine,9
605,Carla Simpson,feminine,14
606,Kenneth Jackson,feminine,14
607,Susan Lawrence,masculine,20
608,Yolanda Christensen,feminine,5
609,Lee Grimes,feminine,23
610,Alexander Romero,masculine,3
611,Erica Cherry,masculine,10
612,Jacqueline Osborn,masculine,25
613,Andrew Hall,masculine,18
614,Jennifer Christensen,masculine,15
615,Stephanie Morgan,masculine,2
616,Carrie Guzman,feminine,9
617,Brittany Cook,feminine,21
618,Lisa Gibbs,feminine,30
619,Denise Johnson,feminine,30
620,Anna Pope,masculine,27
621,Patrick Clark,masculine,16
622,Casey Ortega,feminine,20
623,Vicki Webb,masculine,6
624,Derrick Farrell,masculine,8
625,Lori Becker,feminine,13
626,Dana Mcdaniel,masculine,13
627,Ms. Jody Ramos,masculine,23
628,John Lewis,masculine,2
629,Kevin Palmer,feminine,5
630,Phillip Johnson,masculine,16
631,Melanie Baird,masculine,22
632,Derek Mullins,feminine,11
633,Angela Reid,feminine,0
634,Lisa Ward,masculine,26
635,Donald Jackson,feminine,13
636,Allison Hall,masculine,28
637,Kelly Bennett,masculine,10
638,Gregory Powell,masculine,9
639,Amy Ward,masculine,26
640,Kaylee Johnson,feminine,15
641,Timothy Wilcox,feminine,24
642,Rick Dougherty,masculine,12
643,Jesse Pitts,masculine,8
644,Eric Clayton,masculine,23
645,Lauren Jordan,feminine,4
646,Billy Weaver,masculine,24
647,Jason Barber,masculine,26
648,Terri Curtis,masculine,17
649,Mary Russell,feminine,17
650,Steven Duran,feminine,22
651,Jennifer Massey,feminine,1
652,Sherry Tyler,feminine,16
653,Jonathan Hancock,feminine,9
654,Glenn Henry,masculine,5
655,Amanda Kirk,masculine,10
656,Chelsea Wilson,masculine,2
657,Wesley Nichols,feminine,23
658,Jasmine Ortiz,masculine,17
659,Teresa Prince,masculine,2
660,Linda Farmer,masculine,29
661,Mr. Mike Mason,masculine,30
662,Jennifer Jones,feminine,2
663,Larry Solis,feminine,5
664,Sean Conner,masculine,11
665,Ryan Decker,masculine,14
666,Joseph Melton,masculine,29
667,Diane Bowen,masculine,20
668,Allison Burnett,feminine,30
669,Gabriela Bell,feminine,12
670,Gwendolyn Pineda,masculine,10
671,Philip Rios,feminine,6
672,Jacob Mitchell,masculine,15
673,Adam Walker,feminine,26
674,Caroline Quinn,feminine,26
675,John White,feminine,14
676,Donna Baker,masculine,6
677,Marc Vargas,feminine,17
678,Lauren Martin,masculine,19
679,Frederick Howe,feminine,1
680,Elizabeth Johnson,feminine,2
681,Wendy Reeves,masculine,11
682,Maxwell Johnson,masculine,8
683,Rachel Robles,masculine,8
684,Jasmine Cortez,masculine,23
685,Jesus Norris,feminine,28
686,Debra Thompson,masculine,0
687,Julia Fletcher,masculine,26
688,Mary Scott,masculine,12
689,Mr. Andrew Oliver,feminine,16
690,Roger Haynes,feminine,4
691,Mary Thomas,masculine,20
692,Michelle Lewis,feminine,14
693,Theresa Anderson,feminine,12
694,Lori Washington,feminine,28
695,Garrett Lewis,feminine,24
696,Dillon Mayo,feminine,3
697,Kristi Thomas,feminine,15
698,Amy Kane,masculine,11
699,Olivia Schneider,masculine,1
700,Cole Henderson,feminine,0
701,Edwin Prince,masculine,2
702,Trevor Hernandez,masculine,20
703,Yolanda Alvarez,feminine,25
704,Alec Scott,feminine,10
705,Shelley Hall,feminine,14
706,Michael Mcdonald,feminine,13
707,James Campbell,masculine,11
708,Erin Rodriguez,feminine,24
709,Joseph Brown,masculine,26
710,Roger Chavez,masculine,11
711,James Hebert,feminine,14
712,Gina Harrison,feminine,21
713,Mary Marshall,masculine,21
714,Teresa Williams,feminine,13
715,Regina Tran DVM,masculine,10
716,Jonathan Young,masculine,16
717,Michelle Gentry,masculine,5
718,Rebecca Romero,masculine,30
719,Roger Santiago,masculine,13
720,Kevin Mccann,feminine,21
721,Amanda Ramos,masculine,17
722,Michele Gray MD,feminine,30
723,Kevin Hall,masculine,13
724,Wendy Proctor,feminine,5
725,Philip Casey,masculine,22
726,Jill Gomez,feminine,18
727,Steven Mills,masculine,9
728,Gregory Carr,feminine,26
729,Elizabeth Briggs,masculine,13
730,Suzanne Hall,masculine,16
731,Kenneth Evans,feminine,17
732,Kayla Joyce,masculine,7
733,Jonathan Gomez,feminine,1
734,Deanna Brown,masculine,4
735,Jeremy Moon,masculine,18
736,Jacob Daniels,masculine,26
737,Scott Parker,feminine,2
738,Traci Cook,feminine,19
739,Pamela Andrews,feminine,25
740,Tara Moore,feminine,11
741,Beth Reid,feminine,2
742,Kim Murray,feminine,20
743,Jacob Mullins,feminine,20
744,Chris Green,masculine,28
745,Nicholas Garrett,feminine,6
746,Mr. Joseph Cooper DDS,feminine,3
747,Melissa Mcgee,feminine,13
748,Loretta Cervantes,feminine,15
749,Stephanie Gonzalez,feminine,21
750,Deanna Meyer,feminine,1
751,Melissa Hernandez,masculine,0
752,Michael Ho,masculine,23
753,Russell Johnson,masculine,3
754,Hector Davis,feminine,10
755,Sarah Schultz,masculine,11
756,Ashley Martinez,masculine,22
757,Amber Vaughn,feminine,18
758,Laura Johnson DDS,feminine,19
759,Christopher Cooper,feminine,8
760,Nicole Wang,feminine,29
761,Amanda Davis,masculine,25
762,Caitlin Cuevas,feminine,15
763,Nathan Garcia,feminine,2
764,Michael Bruce,feminine,15
765,Michelle Gonzales DDS,feminine,9
766,Dean Jones,masculine,7
767,Kimberly Brooks,masculine,21
768,Sarah Gonzalez,masculine,24
769,Margaret Rush,feminine,0
770,James Marquez,masculine,11
771,Terry Hall,masculine,6
772,Amber Woods,masculine,27
773,Wesley Jackson,masculine,11
774,Amy Arellano,masculine,17
775,John Miller,masculine,9
776,Caitlin Andersen,feminine,17
777,Michael Knapp,feminine,5
778,James Fields,masculine,26
779,Michael Owens,masculine,18
780,John Cooper,feminine,21
781,Danielle Meadows,feminine,29
782,Jeffrey Ford,feminine,11
783,Emily Griffin,masculine,22
784,Caleb Sanchez,masculine,12
785,Jamie Johnson,masculine,2
786,Andrea Duke,feminine,4
787,Cassidy Meyers,feminine,11
788,Ann Fletcher,feminine,20
789,Danny Martin,masculine,19
790,Jackson Garcia,feminine,29
791,Roberto Barnes,masculine,28
792,John Pollard,feminine,25
793,Lisa Sandoval,feminine,0
794,Caitlin Mcdaniel,feminine,10
795,Mary Nguyen,feminine,15
796,Kaitlyn Anderson,masculine,3
797,John Phillips,masculine,4
798,Steven Horton,masculine,18
799,Sharon Dyer,feminine,18
800,Joseph Galloway MD,feminine,10
801,Kimberly Perry,masculine,29
802,Brett Nelson,masculine,30
803,Sean Farley,masculine,10
804,Alexander Morgan,feminine,4
805,Laura Villa,masculine,2
806,Bradley Swanson,feminine,15
807,Lindsay Jackson,feminine,18
808,Marc Duncan,masculine,23
809,Briana Thompson,masculine,24
810,Mark Adams,masculine,12
811,Stephanie West,feminine,6
812,William Gibson,feminine,27
813,Devin Cook,masculine,23
814,Brandon Giles,masculine,2
815,William Wu,feminine,12
816,Gary Hernandez,masculine,0
817,Stefanie Brooks,masculine,1
818,Matthew Cobb,masculine,24
819,Johnny Lawrence,masculine,9
820,Ellen Howard,feminine,29
821,Douglas Hernandez,feminine,11
822,Joshua Sellers,feminine,20
823,Aaron Simmons,masculine,6
824,Charles Jennings,feminine,25
825,Beth Guzman,masculine,18
826,Elizabeth Stuart,feminine,5
827,Jasmin Harris,masculine,15
828,David Harmon,masculine,12
829,Katelyn Collins,feminine,20
830,Cynthia Rivera,feminine,5
831,Denise Fletcher,masculine,16
832,Christopher Mahoney,feminine,1
833,David Obrien,feminine,29
834,Scott Fox,masculine,12
835,Deborah Smith,masculine,6
836,Jeremy Obrien,masculine,2
837,Leslie Sanchez,masculine,20
838,Christopher Glover,feminine,10
839,Robert Newman,feminine,18
840,Michele Miller,masculine,27
841,Joseph Davis,masculine,4
842,Ruth Johnson,feminine,24
843,Andrew Flowers,feminine,20
844,Sarah Gonzalez,masculine,29
845,Pamela Jackson,masculine,7
846,David Hanson,masculine,28
847,Patricia Williams,feminine,5
848,John Smith,feminine,29
