ID_Utilisateur,ID_Publication,ID_Emoji
2905,63,24
2010,356,53
2409,9,14
2720,432,5
3822,379,94
513,120,35
1016,372,71
3013,153,23
703,481,29
3472,454,52
2991,300,92
1264,103,50
1933,330,88
769,274,45
448,495,32
3228,107,99
3624,279,39
2826,413,19
1457,285,30
3154,182,72
2506,401,91
1737,442,41
130,389,61
2401,253,27
1878,434,74
2917,124,18
2631,236,64
1105,54,30
3745,188,86
77,381,45
2040,309,17
3752,25,68
221,477,23
3138,8,15
2289,90,65
3583,370,75
2110,265,82
678,0,78
3257,223,56
517,441,49
3950,255,81
1126,419,50
2182,288,6
3531,244,92
3364,391,62
3038,162,95
2387,366,4
3275,80,41
2206,9,44
2035,461,86
329,475,52
3810,465,90
153,137,24
719,45,44
3047,99,39
2887,287,9
2832,42,25
3694,167,99
3555,109,94
2645,101,26
1458,255,12
580,408,15
951,190,22
3862,134,11
2172,191,15
3956,445,79
231,283,98
3922,268,6
986,111,81
308,486,9
996,102,20
2625,481,48
3924,452,35
1084,187,19
114,133,20
3113,351,15
147,3,49
661,295,55
3449,102,55
646,265,96
573,318,52
178,101,3
494,67,28
1397,372,12
3303,91,44
1986,39,38
3847,447,84
3157,116,61
23,450,27
532,25,39
607,196,35
625,276,16
3455,398,64
1110,110,43
1360,169,79
2598,255,52
2459,259,81
1524,126,29
499,383,12
1760,406,74
1534,239,91
792,309,28
1387,371,42
2606,372,99
1804,313,4
2157,331,62
1921,414,1
2756,316,6
2911,328,41
3200,274,3
3807,51,77
1458,179,50
3509,481,98
1734,493,2
3585,53,21
2557,346,49
2383,485,24
278,228,55
656,35,92
3152,385,87
1476,403,67
1506,362,17
1613,74,61
1369,296,72
2123,283,92
774,85,7
3461,429,90
3795,365,4
98,400,40
1234,165,17
3363,221,71
3903,175,28
3888,149,88
2110,249,29
195,65,8
2745,487,95
353,233,24
1730,228,82
2304,331,7
291,418,68
3413,327,25
920,427,65
1535,353,24
1406,25,74
1988,443,57
3976,127,87
3315,144,34
1044,28,83
1863,68,35
2400,387,36
1271,306,60
2768,159,49
2871,288,17
3380,370,73
2938,486,92
3707,486,71
3972,133,65
241,400,24
2994,176,11
3792,355,6
3338,175,78
878,91,18
41,344,55
3107,109,64
1077,130,37
1305,1,53
653,380,55
392,283,92
3167,228,26
314,421,83
2632,418,45
2089,371,42
2293,326,67
3764,286,73
1350,234,12
3898,118,48
566,454,70
1874,198,59
1014,422,94
411,112,50
895,268,8
635,375,76
3870,83,56
3751,220,86
1584,397,15
485,88,10
2253,420,89
2049,239,30
2273,222,7
248,387,41
3920,295,28
2851,468,28
2181,240,60
112,294,77
1278,80,38
1997,291,90
237,252,35
2674,359,44
2802,198,99
2406,489,9
328,290,5
2173,3,24
3287,23,31
2406,146,80
1837,64,27
2356,312,13
1577,86,88
1667,41,77
3790,40,9
1483,485,70
1693,203,53
2334,242,90
3001,283,8
3289,448,39
1519,296,8
2825,148,65
2832,54,24
1660,10,72
2929,122,67
1648,239,14
501,193,67
174,384,2
1660,151,35
3955,64,45
1826,296,92
3568,345,6
99,111,67
3219,218,57
2420,25,31
3953,112,5
3119,142,56
480,288,22
583,206,0
1710,21,87
70,153,18
2770,11,66
3805,432,55
972,354,73
3991,256,10
187,303,68
1006,107,81
1689,302,37
2935,24,59
3150,245,70
3211,58,88
3138,311,64
2126,307,66
788,235,49
3124,245,29
3552,202,4
2043,315,32
1391,175,33
1424,117,38
913,310,88
428,67,75
397,270,92
3780,373,85
2385,253,86
1756,317,78
180,95,50
2616,2,85
798,64,89
260,467,72
3391,58,41
2375,290,59
2628,106,75
1117,444,29
3334,145,96
3965,200,86
1826,426,85
3821,455,90
1532,133,45
1963,499,37
2121,79,38
3783,355,78
468,291,29
2600,228,81
1419,367,1
1390,58,89
1454,75,11
1699,229,18
2590,405,24
2190,344,6
1520,242,76
3952,146,77
10,208,49
643,154,12
2050,469,20
3879,233,66
3875,219,57
2144,89,12
1714,204,22
3095,211,81
3953,68,33
2219,225,74
165,225,49
1325,89,19
1406,55,51
2407,360,29
185,453,97
1488,4,86
447,261,46
1548,217,21
2480,357,65
977,193,65
3302,202,68
2016,402,71
3959,87,24
3776,271,10
613,40,39
1258,229,29
2471,348,14
957,438,85
2294,467,5
2582,326,1
31,131,24
1766,195,57
3843,141,26
3694,418,46
3005,109,28
1981,53,36
245,414,18
2054,186,80
1038,375,26
1361,103,85
1230,67,19
1170,183,88
3301,61,83
2900,255,12
2680,246,92
2810,291,81
3321,388,3
3815,122,11
3082,72,51
3196,313,38
3655,188,11
2784,38,56
1293,229,74
2832,297,55
812,23,80
2554,385,95
3852,164,48
1999,231,74
704,288,98
148,8,63
3505,289,48
1073,310,30
3481,181,22
1083,2,80
3002,396,8
1271,459,55
2299,58,17
53,315,61
2847,439,53
1166,195,37
3623,101,53
3318,361,98
71,346,42
896,490,37
1656,292,46
3615,28,61
2785,168,73
888,77,74
3510,221,71
2135,362,66
3516,21,35
1001,174,72
1789,69,28
2952,167,40
332,411,30
2678,359,41
1168,311,11
3067,392,42
227,407,75
3242,357,84
1883,49,57
2664,211,89
2693,459,87
190,317,53
1311,433,5
2660,172,67
3939,296,67
1328,298,65
168,271,10
612,193,44
735,311,24
3354,282,47
94,229,64
2392,117,66
3266,357,93
618,460,47
2556,243,98
609,308,20
1488,421,8
3870,384,26
3083,351,21
1278,384,30
2806,6,0
1707,486,78
1066,30,30
1730,55,26
3599,151,30
1351,341,13
3750,319,57
2485,219,21
778,168,81
2959,361,11
3430,87,58
1712,178,8
1835,249,91
1899,292,69
74,478,21
594,442,75
1771,7,33
660,107,98
2765,487,0
3694,314,14
3397,374,16
635,283,55
2229,406,54
1384,299,96
1179,126,22
160,431,25
540,169,10
3664,31,33
1973,172,76
1466,36,10
1098,450,37
2389,402,48
2867,405,19
1876,232,21
3080,334,8
247,318,97
2068,10,10
2301,52,93
1040,50,31
1581,237,13
1866,292,42
826,339,33
877,286,75
3501,97,87
2436,336,81
3454,241,11
2096,147,83
1981,315,67
2143,155,21
179,22,72
1318,154,31
1134,28,14
1476,289,3
2695,374,49
3221,445,20
2238,133,10
3480,263,55
2479,27,55
1355,180,48
41,37,23
1174,188,66
1321,141,17
1652,242,68
895,151,77
2573,121,29
3301,488,93
2813,90,11
3680,260,78
585,163,1
2,83,34
2697,10,20
1163,359,67
2214,453,29
3197,154,37
2172,25,87
1819,214,88
2833,253,69
1147,269,54
9,491,18
3231,19,9
3471,138,6
1888,80,88
3005,483,16
3439,431,91
345,96,19
428,255,33
3956,480,70
3589,39,57
2581,102,5
2570,48,72
1095,489,51
974,190,51
3734,258,89
1121,117,76
1056,42,79
1535,269,17
436,224,91
3081,242,62
2631,3,65
3625,414,40
447,405,58
812,463,11
858,81,58
2010,349,77
2264,73,82
3016,407,28
3129,423,10
2746,300,32
3336,307,21
2748,339,88
1571,252,42
3331,288,83
1053,101,75
488,339,10
680,10,81
1719,325,52
150,465,5
1880,285,19
1191,449,51
2933,272,90
3880,299,97
3974,440,10
630,465,70
1587,26,68
1329,494,44
2077,436,72
1501,350,77
233,360,40
3621,205,20
119,471,48
1738,136,26
2160,152,16
1335,487,73
1359,38,69
2097,5,34
895,307,95
1893,291,24
3872,281,67
3562,290,95
60,384,56
2891,424,94
1898,162,79
270,29,24
3848,371,90
162,374,47
529,450,44
2866,333,13
2589,205,81
3733,77,48
3261,302,90
3804,432,48
2915,137,80
1880,240,54
3289,207,78
1122,220,11
3093,177,9
1200,377,18
2121,188,3
1215,259,7
2800,131,54
1013,499,99
802,333,20
1459,166,32
1465,478,51
667,0,47
189,328,72
2919,443,59
897,191,14
1429,350,52
170,312,75
2151,315,18
1691,496,20
978,220,99
114,487,96
2933,292,24
3391,169,52
3238,23,69
3197,96,14
720,351,55
2798,469,97
1397,188,39
3663,369,40
2214,476,93
2726,309,71
3115,309,11
3974,492,98
1599,242,99
3360,17,4
3515,53,75
2630,242,88
2870,167,55
457,58,94
581,156,25
337,454,45
583,187,59
935,143,32
3611,182,17
2117,52,31
1466,231,19
2614,494,51
3153,51,23
760,231,42
589,53,13
3048,400,96
779,176,95
2619,439,41
3758,442,67
1256,395,75
2741,346,6
2540,202,3
2546,92,76
2633,499,84
1643,95,40
333,9,45
3341,24,61
132,354,35
2012,124,66
1896,132,93
848,321,96
2555,43,85
984,276,16
2223,151,5
2152,377,12
3298,409,93
1092,138,51
3540,95,47
2410,250,76
1948,168,92
3346,344,68
1434,123,68
2158,65,61
2223,103,56
3535,34,66
3013,125,72
2906,193,72
387,208,14
3405,172,81
529,384,6
1862,257,51
2777,124,58
440,427,83
2851,280,16
2291,360,50
2227,174,10
2195,294,32
2085,397,92
2978,260,11
1631,205,99
2350,111,29
713,224,9
2320,284,16
2330,85,60
2058,459,1
3531,428,24
2694,472,65
771,344,69
1296,121,79
3294,453,63
831,29,87
345,115,23
396,488,76
1372,295,23
3160,341,15
854,388,88
66,235,63
2827,189,26
3243,303,18
2806,115,87
700,21,19
1229,286,34
2290,217,41
1446,249,58
596,251,20
471,360,41
1326,356,56
1918,406,87
933,316,43
2699,482,91
2509,339,16
2748,140,6
3005,1,28
3628,341,21
1007,448,67
3725,364,90
553,233,9
2311,36,42
1755,318,26
554,26,59
3186,70,37
343,346,64
186,334,39
2490,248,30
828,316,37
2029,318,59
955,325,41
1703,380,93
46,327,13
3315,117,30
2849,108,47
1567,50,58
677,199,56
3983,220,98
1904,262,97
850,177,76
3899,252,68
2592,216,0
1934,60,87
44,256,10
3841,174,94
637,163,28
3981,452,41
3653,273,49
1126,52,78
584,365,31
1114,276,48
2146,344,36
28,5,28
2689,243,72
3922,70,52
1220,195,4
677,300,67
2366,239,17
3777,420,74
2385,146,13
3098,169,45
2701,247,57
3448,332,63
2280,283,92
2915,131,75
169,148,69
3121,195,25
821,258,10
1263,499,20
2262,37,32
1230,195,91
1367,394,1
3718,468,88
567,353,14
2032,336,37
950,72,47
3812,42,45
3608,29,47
783,298,55
3746,393,46
1945,480,56
2906,240,79
995,336,97
14,361,25
3613,285,55
3308,276,19
517,298,37
2629,494,30
1404,155,34
857,138,61
680,262,15
1681,270,17
3217,429,41
705,336,74
2498,442,31
1452,235,57
795,142,16
3259,168,45
2444,294,96
789,98,50
2396,99,86
3667,225,28
2779,20,40
272,22,86
3434,146,46
3324,62,41
3243,160,74
1602,467,0
3374,445,68
3889,423,70
1182,432,20
3204,218,77
907,413,77
368,82,66
718,376,92
3902,421,84
1119,490,85
868,26,64
3833,55,41
2428,345,99
114,214,82
3022,270,91
1454,316,26
3183,480,37
1807,227,46
878,110,49
2484,305,91
2357,71,10
702,216,36
853,404,72
3668,269,26
85,185,21
3380,36,19
1021,32,41
3329,476,62
822,437,96
497,233,81
2912,184,64
133,499,25
3456,446,40
612,309,78
3205,165,11
1708,298,80
956,24,23
1292,112,23
1539,426,26
2208,354,90
1901,117,58
3680,449,71
1933,275,74
220,432,3
537,238,63
3965,117,58
3866,376,2
2813,207,25
2767,45,78
3102,81,32
646,417,66
2154,135,40
608,196,54
1106,246,15
675,417,6
1102,161,53
1933,455,31
1394,414,86
1259,278,21
3049,60,24
3388,187,57
2045,142,78
3988,388,25
2053,65,51
1832,367,82
1469,209,90
781,103,39
3657,449,72
3739,194,67
1406,269,32
769,247,11
914,391,38
2712,241,64
3884,88,92
3815,331,76
3531,52,15
2192,39,12
3903,47,85
1153,407,32
1891,479,47
2905,401,27
2728,264,16
2845,22,76
1542,110,83
695,178,10
2787,147,59
572,327,43
2824,197,77
1079,361,5
2742,190,39
3506,165,18
2442,239,61
2346,337,14
3656,190,74
2788,35,66
775,307,9
2154,122,71
2530,105,9
3602,355,56
592,63,31
707,101,3
2744,96,62
1331,272,37
698,315,51
1016,349,46
1918,473,64
3855,240,62
1017,160,32
2994,411,36
1594,373,54
2255,25,44
1080,299,75
3929,352,52
2345,465,6
1125,253,82
2012,68,79
438,69,81
2797,485,22
3744,221,70
2901,191,64
517,134,70
2553,59,40
1733,462,62
3711,68,61
1844,209,26
670,161,79
2627,372,79
692,152,69
837,296,99
306,171,16
2472,204,29
396,260,45
312,170,62
2866,374,47
3418,77,46
656,341,2
1099,420,78
2146,208,62
1801,434,77
2869,387,53
2304,100,31
301,487,8
1393,62,79
1818,213,56
2237,284,47
2686,440,13
3401,11,25
912,440,81
743,175,38
2170,118,69
579,441,78
1007,227,65
2264,200,58
845,174,7
107,334,88
3563,399,94
3719,287,96
3019,393,20
1922,341,16
2862,23,71
245,78,29
2950,449,55
3000,456,25
3881,92,67
604,247,91
3512,279,38
3110,352,85
3633,0,40
1156,80,96
3153,464,32
2954,194,43
802,462,67
3909,303,1
2593,14,49
475,258,41
3266,243,7
2227,376,29
3001,66,89
194,102,26
2052,27,42
2749,390,66
975,8,95
687,385,15
1232,292,37
96,387,47
2964,245,16
1582,198,60
3673,419,8
1253,235,0
3650,136,2
104,380,19
2785,491,36
3155,436,4
1162,348,2
3903,213,44
1813,218,98
2984,40,12
2978,3,50
1879,159,8
1770,455,26
2682,227,42
2617,15,68
344,148,40
530,188,2
2458,491,96
2155,316,43
2749,365,42
3099,429,40
3167,289,58
3002,317,21
873,63,0
719,314,48
3450,437,49
3653,116,18
2297,237,40
1102,100,28
1008,242,15
2250,102,52
395,257,30
1395,322,37
2696,153,70
3491,309,57
496,4,74
3796,250,94
128,342,64
1618,331,43
1625,273,24
394,224,93
3728,172,92
995,387,33
2600,75,72
3642,22,62
1534,247,29
2811,480,21
3214,120,58
1807,62,33
3649,49,34
854,154,72
430,398,9
1286,139,33
3261,370,19
1501,262,31
3769,222,37
2951,211,65
234,383,33
1493,469,79
2525,30,82
2040,204,46
2266,127,58
1659,320,21
1237,408,72
1605,280,26
2634,144,76
1667,287,4
3035,414,27
1481,0,25
1643,498,68
1482,122,46
1871,184,31
3187,455,68
1324,417,57
2415,447,13
1060,108,14
68,72,15
3556,200,54
3334,104,75
2103,147,83
1526,459,20
109,189,27
1888,228,92
3134,189,72
2828,380,33
1740,401,63
91,116,30
873,436,67
3582,452,74
2987,102,73
2163,86,40
1703,224,6
3101,178,60
119,18,33
3160,310,79
921,21,91
2589,121,75
2785,376,31
698,47,72
2460,127,27
52,100,42
3899,346,60
312,143,3
2742,163,80
3789,42,58
132,349,70
329,301,29
1650,43,87
2694,75,63
3336,290,53
3955,426,20
2202,330,30
548,50,17
1296,40,91
1548,214,2
283,467,23
2280,254,94
3702,140,38
335,229,45
2531,1,31
2995,260,36
1870,497,19
1875,163,82
1722,406,54
2453,32,64
642,75,48
2396,223,57
619,88,33
1843,223,42
1116,410,79
348,152,56
912,197,61
1547,213,0
1751,284,87
2674,301,41
3585,419,58
1085,253,62
3651,423,65
3322,311,34
3737,32,87
3290,222,77
619,315,82
3532,344,51
989,240,89
2645,428,2
3777,461,46
2480,478,75
1381,286,49
3904,208,29
3397,31,50
3662,56,56
968,438,96
2040,215,69
2238,352,69
1320,267,55
1410,419,53
132,396,77
2719,388,38
1734,135,46
3920,270,30
3090,32,87
1782,490,79
2273,294,11
2375,413,99
2781,253,78
511,5,63
1189,367,14
1833,342,34
2766,236,58
206,439,95
1425,234,8
421,214,74
1693,395,63
2950,21,97
3290,61,80
3329,390,14
846,47,83
2230,444,44
3829,218,75
968,74,33
156,57,22
3896,340,17
87,191,97
186,84,79
2983,131,34
3602,172,94
2964,58,42
1522,237,10
283,18,27
1677,382,58
3149,109,10
3715,150,31
1370,53,88
1449,289,80
847,225,81
2032,97,2
104,26,30
290,387,70
3451,69,16
922,428,60
2735,499,70
1477,376,6
2567,360,18
3619,92,40
1267,135,62
1748,21,11
1567,265,42
3397,16,4
3045,258,21
2751,344,88
2666,382,40
2568,115,2
1625,270,7
2953,17,76
722,178,67
1772,471,89
557,5,75
3095,159,81
1832,354,76
1983,227,27
3056,209,6
3975,417,38
3618,471,83
3582,418,32
114,203,48
47,80,63
899,178,65
3829,160,5
433,291,83
3664,20,27
180,99,54
1248,383,90
2911,190,91
1173,378,12
3506,492,91
1789,25,29
2987,158,40
1548,94,18
487,17,37
3031,385,48
480,233,80
2259,361,44
361,453,70
3101,416,95
3607,78,58
1676,277,81
2712,478,84
1294,497,42
148,55,45
1367,174,85
1399,404,99
3739,203,14
2336,369,54
3281,364,59
862,235,23
2469,430,48
3835,18,10
1073,358,28
617,445,45
3829,474,71
1630,151,50
3502,319,50
3295,82,11
832,376,62
702,245,9
1443,369,17
1574,65,59
3338,90,52
393,220,21
2272,318,56
2245,272,48
1034,366,0
733,307,6
3940,323,25
3389,251,45
3983,286,51
99,163,83
1422,58,71
2839,488,65
1284,427,3
3350,289,29
3787,336,65
3608,153,31
1285,51,23
24,322,62
3492,428,47
3165,355,74
473,305,64
3142,309,64
3099,195,98
2667,191,34
1013,90,47
594,338,29
2200,468,96
1753,195,35
2616,88,83
1860,146,35
3824,496,32
2631,244,15
1262,201,3
1219,416,42
939,38,16
350,187,95
3674,414,88
1574,407,70
754,215,15
1786,69,46
2404,464,70
2213,69,65
3929,417,18
3126,84,28
2980,213,23
3293,278,57
3171,186,92
2222,132,30
405,10,7
1261,316,81
2446,66,64
328,176,19
2701,45,95
710,483,11
3990,218,75
2868,280,93
1435,496,37
1545,116,28
1167,2,34
1882,230,69
2375,112,84
2133,454,69
3979,29,56
1383,327,48
1441,465,81
1308,248,85
2596,155,3
2328,452,42
2995,383,84
1340,142,2
3872,329,60
167,2,53
186,241,73
2522,240,42
1919,189,44
1147,443,66
1912,26,56
2366,417,54
2944,48,89
948,278,65
1812,232,6
225,489,93
2889,427,11
1111,473,44
1227,134,89
1950,339,78
1940,366,15
777,208,63
920,92,56
2864,382,30
1758,185,23
1864,62,92
2734,281,72
3591,464,32
1967,185,35
3914,122,11
3062,137,18
3530,16,19
1983,311,39
3503,351,5
2895,340,94
908,320,7
402,463,96
3670,425,34
1285,167,51
68,315,29
1709,260,49
3580,243,65
2306,199,34
2692,450,21
2523,260,24
1347,419,2
1212,379,90
2429,88,16
1782,406,76
712,437,13
141,417,70
3002,263,88
2111,0,56
1320,272,6
1100,408,37
572,459,56
485,3,73
1818,279,38
2613,249,50
2408,481,72
2958,233,46
1325,274,52
